Word;French Translation;English Definition;Example Sentence;Example 2;Example 3
ample;abondant / suffisant;enough or more than enough, plentiful;There is ample evidence to suggest that he committed the crime.;Don't worry about the time;The car has ample trunk space for all our luggage.
arid;aride / sec;having no rain, very dry;The cactus is one of the few plants that can survive in such an arid climate.;His lecture was so arid and technical that half the students fell asleep.;After months without rain, the once green fields turned arid and dusty.
blind;aveugle;unable to see, having no sight;He was born blind, but he developed an incredible sense of hearing.;Love is blind, which is why she ignores all his bad habits.;We did a blind taste test to see which cola brand people actually preferred.
deficient;défectueux / carencé / insuffisant;not having enough of a specified quality or ingredient;A diet deficient in Vitamin C can lead to health problems like scurvy.;The bridge was closed because the structure was found to be deficient and unsafe.;His management skills are deficient, so the team is often confused.
evident;évident / apparent;plain or obvious;clearly seen or understood;clearly seen or understood;clearly seen or understood
oblivious;inconscient / qui ne remarque rien;not being aware or concerned about what is happening around you;He sat reading his book, completely oblivious to the noise around him.;She was oblivious to the fact that she had dropped her wallet.;Pedestrians looking at their phones are often oblivious to traffic.
prevalent;fréquent / répandu;widespread in a particular area at a particular time;Flu is particularly prevalent in the winter months.;The prevalent opinion among experts is that the economy will recover soon.;Smartphones are now prevalent even in developing countries.
suitable;approprié / convenable;right or appropriate for a particular person, purpose or situation;The movie contains violence and is not suitable for young children.;We need to find a suitable date for the meeting that works for everyone.;She is looking for a suitable candidate to take over her position.
susceptible;sensible / vulnérable / influençable;likely to be able to be influenced or harmed by a particular thing;Older people are more susceptible to infections than young adults.;He is very susceptible to flattery;The crops are highly susceptible to frost damage this time of year.
avert;éviter / prévenir / détourner;to turn away one's eyes or prevent an occurrence;The pilot managed to avert a disaster by landing the plane on the river.;She averted her eyes when the scary scene came on the TV screen.;Diplomats are working hard to avert a war between the two countries.
broaden;élargir;become larger in distance from side to side or expand;Travel can broaden your mind and help you understand other cultures.;The city plans to broaden the main road to reduce traffic congestion.;We need to broaden our customer base by advertising on social media.
carry out;effectuer / réaliser;to put through or follow up on something;The scientist plans to carry out a series of experiments next month.;Soldiers must carry out their orders without asking questions.;They did not carry out the threat, it was just a warning.
defy;braver / défier;openly resist or refuse to obey;It is dangerous to defy the strong currents and swim in this part of the river.;The magician's tricks seemed to defy the laws of physics.;She defied her parents' wishes and moved to New York to become an artist.
enact;promulguer / jouer;make a bill or a law pass OR to act out;Congress will enact new legislation to protect the environment.;The students decided to enact a scene from Romeo and Juliet.;It takes time to enact real change in a large organization.
erode;éroder / effriter;to gradually wear away;The wind and rain will slowly erode these rocks over thousands of years.;High inflation can erode the purchasing power of your savings.;Constant criticism began to erode his self-confidence.
exhaust;épuiser / consommer;to drain someone, to tire out or to use up;We have exhausted all our financial resources and need a loan.;The long journey completely exhausted the children.;Car fumes exhaust into the atmosphere, contributing to pollution.
feign;simuler / feindre;pretend to be affected by (a feeling, state, or injury);The incredible actor can feign sorrow so well that the audience cries.;I had to feign surprise even though I already knew about the party.;The animals feign death to escape from predators.
recover;récupérer / se rétablir;return to a normal state of health or get back;It took him months to recover from the serious accident.;Police were unable to recover the stolen paintings.;The economy is starting to recover after the recession.
release;relâcher / publier / sortir;to allow or enable;to set free;to set free;to set free
shift;déplacer / changer;move or cause to move from one place to another;The wind began to shift to the north, bringing colder weather.;He tried to shift the blame onto his colleague, but no one believed him.;We need to shift the furniture to make room for the new sofa.
surpass;dépasser / surmonter;to exceed or be greater than;The quarterly sales figures surpassed all our expectations.;Her performance surpassed that of the previous world champion.;The beauty of the landscape surpassed anything I had ever seen.
entirely;totalement / entièrement;completely (used for emphasis);I admit that the mistake was entirely my fault.;The two sisters have entirely different personalities.;I am not entirely convinced that this is the best solution.
freshly;fraîchement / nouvellement;newly, recently;The bakery smells wonderful because of the freshly baked bread.;Be careful not to touch the wall;She arrived at the meeting freshly showered and dressed in a new suit.
obviously;évidemment;in a way that is easily perceived or understood;clearly;clearly;clearly
predictably;de façon prévisible;in a way that can be predicted;as expected;as expected;as expected
extinguish;éteindre;to cease to burn or shine;Please extinguish your cigarettes before entering the building.;It took firefighters three hours to extinguish the blaze.;Nothing could extinguish her hope that he would return one day.
instigate;susciter / inciter;to bring about or initiate something (often negative);He was accused of trying to instigate a riot among the prisoners.;Social media can sometimes instigate conflict between groups of people.;The government initiated a program to instigate economic growth.
relinquish;renoncer à / céder;to give up something voluntarily;He was forced to relinquish control of the company to his partners.;She refused to relinquish her claim to the inheritance.;The king decided to relinquish the throne in favor of his son.
work out;faire du sport / résoudre / se passer;to exercise OR to solve OR to result;I try to work out at the gym at least three times a week.;Don't worry about the details;Everything worked out well in the end, despite the initial problems.
chiefly;principalement / surtout;mainly, mostly, or above all;The house is built chiefly of timber and stone.;He is remembered chiefly for his contributions to medical science.;Our customers are chiefly young professionals living in the city.
exceedingly;extrêmement;to a great extent;The instructions for this device are exceedingly complicated.;She was exceedingly polite to the guests despite being tired.;It is exceedingly rare to find this species of bird in the wild.
instantaneous;instantané;done or happening in an instant or immediately;The effect of the medicine was almost instantaneous;Modern technology allows for instantaneous communication across the globe.;The bomb caused instantaneous destruction of the building.
deceptively;trompeusement / faussement;in a way that gives a misleading impression;The exam looked deceptively simple, but it was actually very hard.;The water is deceptively deep here, so be careful if you swim.;He is deceptively fast for someone of his size.
petition;pétition;a written request to appeal for a cause;Residents signed a petition to stop the construction of the new highway.;She filed a petition for divorce after ten years of marriage.;They presented the petition to the mayor during the town hall meeting.
shed;abri / cabane / hangar;a wood or metal structure used for storage;We keep the lawnmower and the gardening tools in the shed.;He spent the weekend painting the garden shed.;The old shed in the backyard is falling down and needs to be repaired.
