Word;French Translation;English Definition;Example Sentence
coarse;grossier;rough or loose in texture;This year's grains are a bit too coarse, cooking with them will be impossible.
disturbing;troublant;causing anxiety, interfering with the normal functioning of something;This Japanese director's movies are often quite disturbing.
immense;immense, gigantesque;very large in scale and degree;They gave him an immense thank you for his courage and hard work.
mundane;banal;something that lacks excitement and interest;Her book was quite mundane, addressing a common story without excitement.
ongoing;continu;continuing, still in the progress;His erratic behavior is an ongoing issue for the family.
sturdy;vigoureux;a person who is strongly and solidly built;To be a successful athlete, you must be both sturdy and hard-working.
well-suited;bien-adapté;made well and adequately for;This outfit is unfortunately not well-suited for a job interview.
alter;modifier;to change or cause something to change;In order to improve my grades, I had to alter my studying methods.
assert;affirmer;state a fact or belief with confidence;Throughout the trial, she continued to assert her innocence.
baffle;laisser perplexe;leaving someone feeling perplex;Jenny was left baffled by her husband's sudden disappearance.
bear;supporter;to endure a difficulty;During the war, my grandfather had to bear many hardships.
crush;écraser;to deform or pulverize by pressing with force;In order to complete this salad, we will have to crush the cashew nuts in advance.
cultivate;cultiver;to develop a particular quality OR to prepare something (grains);Learning Chinese was extremely difficult, I had to cultivate patience and deep serenity.
dictate;dicter;to lay down the authority OR to say or read aloud;The mayor's secretary dictated this year's new laws to the people.
distinguish;distinguer;to recognize or treat differently;This mother often distinguished between her two sons.
embody;incarner;to give a visible and tangible form to something concrete or abstract;His art embodies the essence of passion and dedication.
emit;émettre;to discharge or produce something;These new speakers emit a fantastic sound.
enhance;améliorer;to increase or improve the quality or value of something;Drinking coffee can sometimes enhance productivity.
evolve;évoluer;to develop gradually;This company evolved quite rapidly. They now have offices in multiple countries.
