Word;French Translation;English Definition;Example Sentence
constantly;constamment, continuellement;all the time, or often;We are constantly updating our database.
distinct;distinct, séparé;clearly noticeable, easy to identify;I distinctly heard the voice of my brother coming from the neighbor's kitchen.
dormant;dormant, inactif;inactive, but which could become active in the future;Her talent remained dormant for many years before her music teacher encouraged her to perform in public.
drab;morne, terne;boring, without bright color;On drab winter days like these, it is good to think of the sunny days of summer.
dramatic;dramatique;full of action and excitement;His winning try in the last minute of the match ensured a dramatic victory for Ireland.
elaborate;détaillé, élaboré;containing a lot of detail; (verb) to work out or explain in detail;He invented an elaborate plan to steal the crown jewels.
elementary;élémentaire;basic;I have an elementary knowledge of chemistry.
erratic;inégal, irrégulier;in a way that is not regular, certain or expected;The passengers became increasingly frightened by the erratic driving of the bus driver.
genuine;véritable, authentique;real, honest, sincere;Marius' feelings for Cosette were genuine: he truly loved her.
mammoth;colossal, titanesque;huge, very big;Solving the city's crime problem will be a mammoth task for the new mayor.
overbearing;autoritaire, dominateur/dominatrice;telling other people what to do in an excessively authoritarian manner;He made many enemies because of his overbearing personality.
prime;premier, principal / la fleur (de l'âge);(adj) main, most important or best quality; (noun) the best, most successful part of a life;When I go to the butcher, I expect him to sell me a prime cut of beef.
rudimentary;rudimentaire, élémentaire;basic;Living conditions in the camps are, at best, rudimentary.
derive;extraire, dériver, tirer;to obtain something from something else;She derives great satisfaction from her charity work.
disperse;(se) disperser, diffuser;to spread over a large area;When the police arrived, the angry crowd started to disperse.
eliminate;éliminer, faire disparaître;to remove or take away;We have eliminated most of the problems that were slowing us down.
encircle;encercler, entourer;to surround, make a circle around something;The rich, central part of the city is encircled by poorer, more dilapidated districts.
engender;engendrer;to make something exist;The government's security measures have engendered a lot of controversy.
engross;absorber;to be so interesting as to absorb someone completely;I am totally engrossed in Stephen King's new novel.
manage;arriver à (faire quelque chose) / gérer, diriger;1) to succeed in doing something; 2) to be responsible for controlling people or things;I managed to persuade my boss to give me a rise. He manages a small company.
mortify;mortifier, blesser;to make someone very embarrassed;I was mortified when I saw the photos of me at the party.
obtain;obtenir;to get something;We have obtained 10 new computers for the new academic year.
reject;refuser, rejeter;to refuse to accept, believe or use;We rejected all the candidates who did not send a letter with their resume.
justify;justifier, légitimer;to be a good reason for;Our increased prices can be justified by the rise in production costs.
accolade;accolade;(noun) a touch on a person's shoulders or an award or privilege granted for a person's good actions;His hard word paid off rather quickly. He received an accolade from the boss after just a few weeks' work.
amenity;aménagement, service;a place that is designed to make life more pleasant or comfortable for its users;This prison, built over a century ago, is overcrowded and lacking in basic amenities.
flaw;un défaut, une imperfection;a fault, mistake or weakness that causes something or someone to be less than perfect;Your report is full of flaws, you'll have to write it again.
harvest;la moisson, la récolte;the cutting, picking or collecting crops from fields on a farm, etc.;The farm is hiring new workers to help with this year's grape harvest.
idol;idole;a person who is much admired and respected;The real lives of Hollywood idols of the 50s were often very different from what their fans imagined.
particle;une particule;an extremely small amount of something;If you have a particle of dust in your eye, you can usually remove it with the corner of a tissue.
